ticker,as_of,close,state,weekly_state,trend,divergence,signal,confidence,entry,stop_loss,key_support,key_resistance,action_summary,key_risk,ret_5d,ret_21d,ret_63d,ret_252d
MU,2026-01-07,339.55,强,强,bullish,none,buy,medium,wait,218.67,225.4289,356.5275,方向看多但当前不宜新建仓，等待回踩$245.69附近黄金棒确认再入场；已持仓者观望，止损设在 218.67,价格偏离MA55达38.2%且布林带位置96%，超扩延不宜追高；风险收益比0.14<1（至压力位空间不足止损范围），不建,-1.8%,+16.2%,N/A,N/A
CIEN,2026-01-07,259.27,强,强,bullish,none,hold,medium,wait,197.78,203.9,272.2335,多头持仓观望，警惕顶背离确认；若破支撑203.9止损设在197.78；若继续创高需监控MACD柱能否同步,⚠️实时顶背离预警：MACD柱缩减59.2%，见顶风险需等待回落确认；状态跳变导致信号可靠性下降；风险收益比较差 0.2,-8.1%,+4.7%,N/A,N/A
B,2026-01-07,46.8757,中性偏弱,强,bullish,none,hold,medium,wait,30.17,31.1038,49.2195,多头持仓观望，当日线回到强态或破压力49.22前维持持仓；止损设在30.17,日线中性偏弱仅6根K线，可能回调至支撑31.10；级别冲突下日内破位风险需关注；风险收益比极差 0.14（至近端压力 $,+5.7%,-4.5%,N/A,N/A
CLS,2026-01-07,305.87,中性偏强,中性偏弱,mixed,none,hold,medium,wait,271.66,280.06,351.41,多头持仓观望，暂不追涨；若向上突破351.41上方需确认；止损设在271.66,大级别周线中性偏弱压制，日线反弹可能受阻于压力351.41；突破乏力则继续下探,+1.4%,+0.5%,N/A,N/A
AMD,2026-01-07,210.02,中性偏强,中性偏弱,mixed,bottom,hold,medium,wait,192.17,198.11,258.89,多头持仓观望，等待突破双平台上沿（>266.66）或底背离反弹确认；止损设在 192.17,周线中性偏弱与日线多头冲突，大级别偏空制约上升空间；突破失败回踩支撑198.11风险,+6.5%,-0.8%,N/A,N/A
INCY,2026-01-07,110.57,强,强,bullish,none,hold,medium,wait,92.31,95.16,116.0985,多头持仓观望，警惕见顶信号；止损设在 92.31，关注价格能否站稳MA55(99.83),⚠️实时顶背离预警：价格$110.57超越前高$108.26但MACD柱缩减20.9%，需等待回落确认见顶；风险收益比较,-4.2%,-2.0%,N/A,N/A
ALL,2026-01-07,206.2265,中性偏弱,强,bullish,none,hold,medium,wait,188.56,194.3947,208.5355,多头持仓观望，下破支撑194.39或上破压力208.54才决方向；止损设在 188.56,日线中性偏弱持续，周线大级别优先但日线可能继续调整；均线虽多头但MACD负柱扩大；风险收益比极差 0.13（至近端压力 ,-5.4%,+0.1%,N/A,N/A
WLDN,2026-01-07,114.29,强,中性偏弱,bullish,none,hold,medium,wait,82.71,85.27,120.35,多头持仓者继续持有，新仓观望；若突破120.35压力则买点浮现，否则震荡整理；止损设在82.71,周线中性偏弱为大级别阻力，日线强可能反弹性质而非趋势延伸；警惕背离+破MA55双确认信号；风险收益比极差 0.19（至近,+13.1%,+0.8%,N/A,N/A
COHR,2026-01-07,191.62,中性偏弱,强,bullish,none,hold,low,wait,165.33,170.44,198.5,等待系统恢复,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_",-3.9%,+18.8%,N/A,N/A
ATI,2026-01-07,120.84,强,强,bullish,none,hold,low,wait,69.2,71.34,126.882,等待系统恢复,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_",+2.0%,+10.5%,N/A,N/A
