ticker,as_of,close,state,weekly_state,trend,divergence,signal,confidence,entry,stop_loss,key_support,key_resistance,action_summary,key_risk,ret_5d,ret_21d,ret_63d,ret_252d
FNF,2022-01-20,39.9071,中性偏弱,强,bullish,top,hold,medium,wait,31.4,32.373,41.8828,多头观望，警惕实时顶背离预警（MACD柱动能缩减395.5%）；止损设在 31.4,级别冲突：日线空头信号vs周月线多头，顶背离成熟但尚未确认见顶；均线虽多头但距MA55仅0.05%，极易触发破位止损；风,-4.2%,-6.6%,-17.3%,-9.5%
BAC,2022-01-20,41.0935,中性偏弱,中性偏弱,mixed,top,hold,low,wait,37.6,38.7671,43.2387,多头持仓观望，短期仍有震荡风险；止损设在 37.6。若破38.7671支撑则避免抄底,级别冲突：日线空头(中性偏弱)但月线强，大级别多头方向未变；A类第三段未确认，可能延伸或反转；顶背离成熟度53根K线，信,-0.6%,+0.5%,-14.5%,-23.2%
LYG,2022-01-20,2.3012,强,强,bullish,none,hold,medium,wait,1.82,1.8769,2.8324,多头持仓观望突破方向；若继续上行突破2.25上方确认可加仓；止损设在1.82,B类双平台易反复，突破失败回落至1.8769支撑风险,-3.2%,-2.8%,-13.3%,-8.8%
CI,2022-01-20,222.6537,中性偏弱,极强,mixed,none,hold,low,wait,180.69,186.2796,243.8781,等待系统恢复,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_",-5.4%,-4.9%,+10.6%,+30.3%
BNTX,2022-01-20,154.4838,弱,极弱,mixed,bottom,sell,medium,wait,36.93,38.0757,291.5484,空头持仓继续持有，多头观望；注意周线极弱状态风险，止损设在 300.29,周线极弱仅1根K线，反弹风险存在；均线倒置（MA55=258.34>MA233=234.68），日线趋势修复需MA55下,-1.3%,+0.3%,-5.5%,-7.0%
CVX,2022-01-20,108.2436,强,强,bullish,top,hold,low,wait,79.52,81.9755,113.6558,等待系统恢复,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_",+5.4%,+5.0%,+29.5%,+45.7%
XOM,2022-01-20,63.1458,强,强,bullish,top,hold,medium,wait,49.46,50.9855,66.3031,多头持仓优先，回调至支撑50.9855附近可加仓；止损设在 49.46,顶背离有效且成熟（49根K线），距主升浪末期可能不远，需防止加速下跌；风险收益比较差 0.23（至近端压力 $66.30,+2.5%,+6.8%,+20.1%,+60.0%
QCOM,2022-01-20,151.284,极弱,强,mixed,top,hold,low,wait,108.36,111.7119,171.9822,持仓者暂停操作，不追单；多头观望止损设在 108.36，空头观望止损设在 177.14,极弱状态下背离信号不可靠；日线空头但周月强，后续可能反转；调整虽充分但反弹未成型；风险收益比较差 0.48（至近端压力 ,-3.2%,+0.7%,-17.9%,-19.6%
AMD,2022-01-20,121.89,弱,中性偏弱,mixed,none,hold,low,wait,97.33,100.34,154.36,等待系统恢复,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_",-15.8%,-6.6%,-26.3%,-37.2%
F,2022-01-20,16.3328,中性偏弱,强,bullish,none,hold,medium,wait,9.15,9.4353,16.4636,多头观望，当前C类震荡未破位；若日线确认向上突破压力16.4636，可考虑介入；止损设在9.15,日线已从强转中性偏弱（顶死叉），与周月线强势形成冲突，信号可靠性降低；需等待日线稳定或3根K线确认方向；风险收益比极差 ,-9.7%,-16.2%,-27.1%,-39.0%
